ingredient_id,name,normalized_name,recipe_ids,recipe_count
30,간장,간장,"[7016815, 7016834, 7016900, 7016935, 7017039, 7017084, 7017096, 7017138, 7017192, 7017327, 7017336, 7017357, 7017367, 7017602, 7017709, 7017714, 7017757, 7017834, 7017838, 7017871, 7017959, 7017977, 7017978, 7017995, 7018017, 7018022, 7018034, 7018055, 7018098, 7018148, 7018161, 7018169, 7018184, 7018242, 7018243, 7018339, 7018467, 7018567, 7018593, 7018597, 7018621, 7018657, 7018663, 7018673, 7018717, 7018729, 7018861, 7018888, 7018927, 7018956, 7018980, 7018987, 7019005, 7019007, 7019008, 7019047, 7019073, 7019200, 7019207, 7019303, 7019409, 7019418, 7019437, 7019442, 7019455, 7019483, 7019503, 7019526, 7019527, 7019543, 7019558, 7019579, 7019621, 7019733, 7019753, 7019798, 7019810, 7019813, 7019856, 7019945, 7019947, 7019956, 7019985, 7020024, 7020057, 7020059, 7020068, 7020075, 7020111, 7020224, 7020237, 7020264, 7020292, 7020339, 7020387, 7020398, 7020402, 7020419, 7020449, 7020496, 7020518, 7020609, 7020655, 7020673, 7020741, 7020864, 7020883, 7020937, 7020978, 7021010, 7021036, 7021038, 7021066, 7021071, 7021079, 7021089, 7021091, 7021092, 7021158, 7021161, 7021162, 7021173, 7021184, 7021224, 7021243, 7021262, 7021283, 7021385, 7021416, 7021436, 7021450, 7021490, 7021512, 7021522, 7021525, 7021528, 7021531, 7021548, 7021561, 7021562, 7021566, 7021599, 7021718, 7021871, 7021881, 7021882, 7021925, 7021989, 7022026, 7022039, 7022068, 7022070, 7022085, 7022117, 7022125, 7022143, 7022364, 7022430, 7022434, 7022437, 7022455, 7022569, 7022592, 7022602, 7022633, 7022663, 7022705, 7022731, 7022740, 7022766, 7022847, 7022858, 7022876, 7022899, 7023247, 7023258, 7023263, 7023344, 7023352, 7023404, 7023542, 7023604, 7023633, 7023754, 7023820, 7023915, 7023953, 7024133, 7024201, 7024211, 7024286, 7024341, 7024475, 7024515, 7024534, 7024548, 7024622, 7024633, 7024668, 7024922, 7025080, 7025086, 7025100, 7025120, 7025195, 7025207, 7025314, 7025373, 7025468, 7025591, 7025679, 7025690, 7025738, 7025753, 7025830, 7025890, 7025918, 7025922, 7025998, 7026012, 7026034, 7026057, 7026169, 7026182, 7026218, 7026263, 7026395, 7026411, 7026469, 7026518, 7026595, 7026653, 7026668, 7026723, 7026916, 7026930, 7026935, 7026972, 7026983, 7027002, 7027014, 7027024, 7027033, 7027099, 7027151, 7027181, 7027394, 7027519, 7027674, 7027681, 7027719, 7027764, 7027928, 7028151, 7028276, 7028329, 7028409, 7028549, 7028577, 7028655, 7028987, 7029113, 7029131, 7029140, 7029176, 7029198, 7029202, 7029324, 7029341, 7029344, 7029389, 7029407, 7029437, 7029451, 7029455, 7029486, 7029525, 7029631, 7029706, 7029954, 7029958, 7030095, 7030125, 7030153, 7030242, 7030310, 7030415, 7030507, 7030553, 7030617, 7030647, 7030724, 7030727, 7030859, 7030961, 7031055, 7031266, 7031341, 7031342, 7031359, 7031370, 7031522, 7031528, 7031535, 7031539, 7031570, 7031697, 7031740, 7031756, 7031943, 7032092, 7032189, 7032196, 7032279, 7032290, 7032334, 7032677, 7032740, 7032906, 7033069, 7033090, 7033247, 7033333, 7033798, 7033892, 7033992, 7034080, 7034112, 7034135, 7034273, 7034333, 7034370, 7034535, 7035279, 7035476, 7035581, 7035665, 7035738, 7035781, 7036177, 7036309, 7036333, 7036425, 7036433, 7039957]",345
31,간장게장국물,간장게장국물,[7026144],1
32,간장돌게장,간장돌게장,[7026144],1
33,간장 소스,간장소스,[7032677],1
34,갈비살,갈비살,[7017395],1
35,갈비탕 국물,갈비탕국물,[7027754],1
36,갈비탕용 소갈비,갈비탕용소갈비,[7022070],1
37,갈색 팽이버섯,갈색팽이버섯,[7027545],1
38,갈아만든배,갈아만든배,"[7018269, 7019284, 7021883, 7037175]",4
39,갈은깨,갈은깨,"[7017300, 7018951, 7021562, 7023456, 7027315, 7030185, 7030859, 7033433]",8
40,갈치,갈치,"[7016972, 7017192, 7018928, 7019457, 7020331, 7025183, 7025469, 7026035, 7031522]",9
41,갈치액젓,갈치액젓,"[7023457, 7027257]",2
42,감식초,감식초,[7020599],1
43,감자,감자,"[7016815, 7016936, 7016964, 7016974, 7017089, 7017192, 7017289, 7017366, 7017537, 7017569, 7017646, 7017855, 7017935, 7017955, 7017977, 7018033, 7018038, 7018096, 7018161, 7018291, 7018695, 7018762, 7018855, 7018903, 7018908, 7019030, 7019042, 7019143, 7019193, 7019199, 7019253, 7019292, 7019325, 7019424, 7019851, 7019886, 7019911, 7019931, 7019974, 7019997, 7020224, 7020265, 7020331, 7020339, 7020393, 7020481, 7020510, 7020524, 7020541, 7020587, 7020597, 7020741, 7020805, 7020874, 7020954, 7020989, 7021166, 7021219, 7021293, 7021421, 7021423, 7021433, 7021474, 7021530, 7021539, 7021654, 7021881, 7022210, 7022220, 7022249, 7022381, 7022673, 7022686, 7022690, 7022883, 7022910, 7023028, 7023043, 7023146, 7023557, 7024033, 7024130, 7024274, 7024472, 7024548, 7024600, 7024669, 7024733, 7025023, 7025034, 7025110, 7025366, 7025406, 7025527, 7025577, 7026006, 7026261, 7026284, 7026287, 7026550, 7026595, 7026873, 7026933, 7026944, 7027077, 7027105, 7027136, 7027390, 7027392, 7027557, 7027575, 7027764, 7027926, 7027946, 7027997, 7028100, 7028126, 7028151, 7028427, 7028564, 7028629, 7028744, 7028803, 7029000, 7029150, 7029194, 7029264, 7029266, 7029308, 7029317, 7029387, 7029415, 7029436, 7029445, 7029455, 7029481, 7029669, 7029684, 7029823, 7030130, 7030191, 7030258, 7030323, 7030678, 7030897, 7030961, 7030999, 7031119, 7031284, 7031352, 7032079, 7032246, 7032417, 7032886, 7033370, 7033415, 7033773, 7033910, 7033948, 7033954, 7034540, 7034585, 7035119, 7035630, 7039557]",165
44,감자분말,감자분말,[7027652],1
45,감자 삶은 물,감자삶은물,[7021293],1
46,감자전분,감자전분,"[7017753, 7017780, 7018096, 7018853, 7019484, 7020915, 7020922, 7021548, 7024075, 7025081, 7025890, 7026873, 7027340, 7029000, 7029571, 7031284, 7032645, 7034273]",18
47,감자탕용 돼지등뼈,감자탕용돼지등뼈,[7019997],1
48,감자튀김,감자튀김,[7025483],1
49,감초,감초,[7017915],1
50,감칠맛 육수,감칠맛육수,[7027089],1
51,감태,감태,"[7020894, 7022129]",2
52,감태김,감태김,[7018815],1
53,갓김치,갓김치,[7019302],1
54,갓김치 국물,갓김치국물,[7019302],1
55,강낭콩,강낭콩,[7031605],1
56,강력분,강력분,"[7021532, 7022279, 7022604, 7027150]",4
57,강황가루,강황가루,"[7019670, 7021024, 7024982, 7027088]",4
58,개복숭아,개복숭아,[7028806],1
59,건갈치,건갈치,[7020418],1
60,건고사리,건고사리,[7020499],1
61,건고추,건고추,"[7017033, 7017110, 7018903, 7019733]",4
62,건고춧잎,건고춧잎,[7025965],1
63,건 곤드레,건곤드레,[7019437],1
64,건 다래순,건다래순,[7020383],1
65,건다시마,건다시마,"[7017004, 7019253]",2
66,건 당면,건당면,[7027755],1
67,건대추,건대추,"[7017747, 7022769, 7023609, 7026187, 7035385, 7038686]",6
68,건더기스프,건더기스프,[7028364],1
69,건 도라지,건도라지,[7019680],1
70,건 로즈마리,건로즈마리,"[7026905, 7029388, 7031485]",3
71,건목이버섯,건목이버섯,[7020874],1
72,건미역,건미역,"[7017087, 7017458, 7018060, 7018373, 7018695, 7018826, 7021446, 7021679, 7023423, 7024274, 7027464, 7027624, 7028850, 7031057]",14
73,건바질,건바질,[7027520],1
74,건보리새우,건보리새우,[7026000],1
75,건살구,건살구,[7021371],1
76,건새우,건새우,"[7019244, 7019253, 7021523, 7021535, 7021979, 7023591, 7024207, 7028016, 7029571, 7029799, 7031374, 7034017, 7038916]",13
77,건 생강,건생강,"[7024542, 7028737]",2
78,건오레가노,건오레가노,[7027520],1
79,건조 마늘가루,건조마늘가루,"[7017594, 7017714, 7019584]",3
80,건조 야채,건조야채,[7017812],1
81,건 죽순,건죽순,[7025108],1
82,건크랜베리,건크랜베리,"[7019596, 7021143, 7024609]",3
83,건 페페론치노,건페페론치노,[7035773],1
84,건포도,건포도,"[7018072, 7019214, 7020958, 7023868, 7031349]",5
85,건표고버섯,건표고버섯,"[7017708, 7021308, 7021453, 7021531, 7022487, 7022518, 7022675, 7026650, 7027049, 7027089, 7029140, 7031341, 7032568, 7033838, 7038916]",15
86,건 피마자(아주까리나물),건피마자(아주까리나물),[7020165],1
87,건홍합,건홍합,[7038916],1
88,검은깨,검은깨,"[7017631, 7017812, 7018500, 7018598, 7019918, 7022205, 7022387, 7023984, 7024048, 7024079, 7031370, 7031515, 7031836]",13
89,검은콩,검은콩,"[7021728, 7022396, 7024982, 7025302, 7031403]",5
90,검정 깨,검정깨,[7026611],1
91,검정콩,검정콩,[7022241],1
92,겉절이양념,겉절이양념,[7030399],1
93,게란,게란,[7028803],1
94,게맛살,게맛살,"[7018595, 7025688, 7025899, 7027007, 7027484, 7035971]",6
95,겨자,겨자,"[7018221, 7022825, 7026504, 7028313, 7028418, 7029686, 7030903, 7033026]",8
96,겨자소스,겨자소스,"[7017310, 7030834]",2
97,견과류,견과류,"[7018912, 7018961, 7020171, 7020928, 7021878, 7022396, 7024109, 7026164, 7026218, 7027080, 7028479, 7029722, 7030421, 7035783, 7036181]",15
98,견과류가루,견과류가루,[7027086],1
99,견과류 믹스,견과류믹스,"[7022937, 7024871, 7030148]",3
100,계란,계란,"[7016834, 7016837, 7016893, 7016909, 7016935, 7017008, 7017010, 7017025, 7017076, 7017172, 7017173, 7017197, 7017198, 7017221, 7017250, 7017253, 7017300, 7017316, 7017357, 7017366, 7017383, 7017386, 7017433, 7017463, 7017477, 7017484, 7017499, 7017553, 7017596, 7017600, 7017606, 7017617, 7017630, 7017643, 7017660, 7017666, 7017668, 7017738, 7017763, 7017776, 7017809, 7017900, 7017925, 7017963, 7017970, 7018004, 7018098, 7018111, 7018123, 7018197, 7018210, 7018237, 7018309, 7018313, 7018342, 7018345, 7018458, 7018479, 7018536, 7018537, 7018562, 7018569, 7018595, 7018599, 7018621, 7018626, 7018627, 7018641, 7018676, 7018692, 7018700, 7018734, 7018825, 7018935, 7018952, 7018967, 7019045, 7019061, 7019093, 7019120, 7019126, 7019128, 7019147, 7019190, 7019199, 7019215, 7019235, 7019268, 7019292, 7019364, 7019368, 7019369, 7019376, 7019387, 7019434, 7019465, 7019468, 7019470, 7019486, 7019496, 7019502, 7019503, 7019505, 7019521, 7019527, 7019534, 7019554, 7019555, 7019623, 7019628, 7019630, 7019667, 7019668, 7019698, 7019784, 7019785, 7019786, 7019801, 7019812, 7019815, 7019886, 7019888, 7019920, 7019922, 7019936, 7019963, 7019983, 7020048, 7020171, 7020179, 7020183, 7020210, 7020312, 7020314, 7020332, 7020369, 7020372, 7020538, 7020544, 7020565, 7020568, 7020614, 7020620, 7020640, 7020715, 7020779, 7020782, 7020802, 7020805, 7020811, 7020818, 7020848, 7020873, 7020922, 7020960, 7020964, 7020984, 7021009, 7021105, 7021158, 7021252, 7021271, 7021280, 7021282, 7021297, 7021324, 7021327, 7021330, 7021352, 7021371, 7021372, 7021373, 7021409, 7021470, 7021496, 7021510, 7021532, 7021593, 7021598, 7021622, 7021679, 7021703, 7021743, 7021776, 7021836, 7021867, 7021868, 7021869, 7021871, 7021879, 7021899, 7021901, 7021957, 7021989, 7022133, 7022168, 7022212, 7022275, 7022308, 7022463, 7022490, 7022630, 7022668, 7022675, 7022747, 7022858, 7022883, 7022915, 7023005, 7023017, 7023132, 7023187, 7023188, 7023280, 7023299, 7023430, 7023453, 7023533, 7023545, 7023561, 7023604, 7023676, 7023779, 7023781, 7023822, 7024245, 7024273, 7024280, 7024312, 7024475, 7024671, 7024672, 7024684, 7024772, 7024842, 7025027, 7025034, 7025093, 7025117, 7025181, 7025216, 7025370, 7025403, 7025404, 7025599, 7025702, 7025703, 7025730, 7025744, 7025776, 7025806, 7025998, 7026021, 7026049, 7026064, 7026126, 7026359, 7026479, 7026503, 7026571, 7026723, 7026762, 7026776, 7026793, 7026987, 7027007, 7027049, 7027112, 7027150, 7027153, 7027348, 7027523, 7027545, 7027652, 7027719, 7027755, 7027835, 7027866, 7027996, 7028005, 7028073, 7028091, 7028130, 7028134, 7028183, 7028229, 7028286, 7028326, 7028391, 7028402, 7028410, 7028552, 7028570, 7028675, 7028683, 7028792, 7028812, 7028892, 7028893, 7029004, 7029048, 7029049, 7029072, 7029181, 7029194, 7029264, 7029358, 7029480, 7029481, 7029534, 7029733, 7029877, 7029992, 7030085, 7030148, 7030161, 7030191, 7030227, 7030242, 7030528, 7030548, 7030701, 7030737, 7030903, 7030917, 7031061, 7031141, 7031284, 7031348, 7031354, 7032092, 7032267, 7032417, 7032449, 7032543, 7033977, 7034196, 7034569, 7034893, 7035001, 7035511, 7035850, 7035927, 7036177, 7036414, 7036609, 7036692, 7037290, 7037306, 7037823, 7038089, 7038236, 7039515, 7039557, 7040047]",355
101,계란감자샐러드,계란감자샐러드,[7030342],1
102,계란과자,계란과자,[7020197],1
103,계란 노른자,계란노른자,"[7017537, 7018130, 7019315, 7023832, 7023992, 7024545, 7024705, 7025880, 7025931, 7028901, 7029234]",11
104,계란물,계란물,"[7021058, 7023005, 7025744, 7026571, 7027835, 7036692, 7037306]",7
105,계란 지단,계란지단,"[7018638, 7022984]",2
106,계란 프라이,계란프라이,[7021622],1
107,계란 후라이,계란후라이,"[7020210, 7020523, 7021635, 7021775, 7026238, 7029204, 7031407]",7
108,계란후라이 반숙,계란후라이반숙,[7022548],1
109,계란흰자,계란흰자,"[7018428, 7020111, 7020672, 7024162, 7025609, 7025880, 7027330, 7033208, 7040500]",9
110,계피,계피,"[7027080, 7035123]",2
111,계피가루,계피가루,"[7017399, 7019064, 7021652, 7029068, 7031605]",5
112,계피 스틱,계피스틱,[7017911],1
113,고구마,고구마,"[7016914, 7016926, 7016950, 7017147, 7017631, 7017850, 7018161, 7018326, 7018399, 7018500, 7018742, 7018853, 7018970, 7019209, 7019406, 7019813, 7019918, 7021143, 7021482, 7021883, 7022294, 7027246, 7028402, 7029337, 7030387, 7031349, 7032375, 7033539, 7034418, 7034624, 7036368, 7036609, 7036737, 7037881, 7039515]",35
114,고구마순,고구마순,"[7017192, 7026811]",2
115,고구마줄기,고구마줄기,"[7024896, 7027927, 7030185, 7030976, 7033482, 7035099]",6
116,고기느타리버섯,고기느타리버섯,[7022915],1
117,고기 삶은 물,고기삶은물,[7017210],1
118,고들빼기,고들빼기,[7023508],1
119,고등어,고등어,"[7017437, 7018100, 7019302, 7019335, 7021550, 7022117, 7022756, 7023493, 7024305, 7024896, 7025690, 7028516, 7032383]",13
120,고등어 자반,고등어자반,[7031897],1
121,고래사종합 어묵 종류별,고래사종합어묵종류별,[7024423],1
122,고명용 대파,고명용대파,[7031348],1
123,고사리,고사리,"[7019522, 7019614, 7019861, 7020458, 7027913, 7035093]",6
124,고사리 나물,고사리나물,[7019785],1
125,고사리 데친거,고사리데친거,"[7016873, 7020008]",2
126,고사리 말린거,고사리말린거,[7017865],1
127,고수,고수,"[7021036, 7022215, 7022810, 7033355]",4
128,고수잎,고수잎,[7020525],1
129,고운 고춧가루,고운고춧가루,"[7017835, 7018306, 7018467, 7019072, 7019467, 7021078, 7021255, 7021889, 7022489, 7024696, 7029151, 7029344, 7030945, 7031646, 7035239, 7038916]",16
130,고운들깨가루,고운들깨가루,"[7020980, 7029076, 7030185, 7030489]",4
131,고운소금,고운소금,"[7018577, 7018951, 7020980, 7022910, 7023633, 7025899, 7026762, 7027315, 7029534, 7030185, 7033433]",11
132,고체 치킨스톡,고체치킨스톡,[7021482],1
133,고추,고추,"[7017273, 7017594, 7018621, 7020556, 7020937, 7021058, 7021066, 7021374, 7023017, 7027002, 7028091, 7029131, 7029175, 7029254, 7030897, 7031138, 7031318, 7031860, 7031863, 7033631, 7033910, 7035877, 7036666, 7036835, 7037850, 7038712]",26
134,고추기름,고추기름,"[7017034, 7018390, 7019733, 7019798, 7020386, 7020841, 7021322, 7021506, 7022455, 7034101]",10
135,고추냉이,고추냉이,"[7016862, 7017750, 7021115, 7021161, 7026599, 7029425, 7030238, 7031697]",8
136,고추씨,고추씨,"[7026263, 7035476]",2
137,고추장,고추장,"[7016815, 7016983, 7017024, 7017039, 7017112, 7017181, 7017237, 7017288, 7017292, 7017327, 7017437, 7017473, 7017512, 7017514, 7017579, 7017598, 7017651, 7017706, 7017714, 7017732, 7017783, 7017845, 7017897, 7017977, 7017978, 7018017, 7018042, 7018070, 7018266, 7018291, 7018298, 7018325, 7018339, 7018491, 7018661, 7018710, 7018717, 7018727, 7018729, 7018810, 7018913, 7018928, 7018944, 7019005, 7019123, 7019130, 7019359, 7019362, 7019489, 7019522, 7019625, 7019749, 7019753, 7019785, 7019857, 7019931, 7019944, 7020015, 7020024, 7020032, 7020128, 7020181, 7020225, 7020304, 7020331, 7020339, 7020387, 7020418, 7020424, 7020447, 7020510, 7020583, 7020599, 7020652, 7020664, 7020741, 7020804, 7020968, 7021010, 7021037, 7021079, 7021092, 7021257, 7021283, 7021303, 7021376, 7021402, 7021403, 7021407, 7021414, 7021416, 7021433, 7021450, 7021453, 7021461, 7021469, 7021485, 7021493, 7021534, 7021546, 7021569, 7021597, 7021599, 7021601, 7021617, 7021644, 7021645, 7021649, 7021666, 7021873, 7021883, 7021971, 7021979, 7022085, 7022117, 7022205, 7022247, 7022312, 7022434, 7022437, 7022455, 7022482, 7022542, 7022561, 7022602, 7022627, 7022649, 7022673, 7022686, 7022695, 7022740, 7022858, 7022974, 7023166, 7023171, 7023344, 7023389, 7023395, 7023475, 7023570, 7023616, 7023754, 7023780, 7023915, 7023925, 7024050, 7024073, 7024094, 7024236, 7024423, 7024535, 7024548, 7024600, 7024668, 7024669, 7024843, 7024922, 7024980, 7025040, 7025078, 7025086, 7025110, 7025310, 7025373, 7025402, 7025406, 7025424, 7025437, 7025505, 7025527, 7025686, 7025690, 7025718, 7025738, 7025753, 7025810, 7025918, 7026035, 7026181, 7026218, 7026272, 7026284, 7026607, 7026642, 7026873, 7026919, 7026987, 7026989, 7027102, 7027105, 7027282, 7027393, 7027522, 7027560, 7027754, 7027824, 7027916, 7027996, 7028015, 7028140, 7028151, 7028206, 7028248, 7028276, 7028388, 7028725, 7028987, 7029089, 7029150, 7029198, 7029292, 7029324, 7029341, 7029385, 7029387, 7029392, 7029399, 7029455, 7029469, 7029669, 7029797, 7029982, 7030132, 7030140, 7030185, 7030280, 7030323, 7030384, 7030418, 7030540, 7031119, 7031227, 7031254, 7031345, 7031515, 7031536, 7031537, 7031756, 7031816, 7032133, 7032246, 7032380, 7032499, 7032789, 7033358, 7033659, 7033773, 7033954, 7034017, 7034257, 7034945, 7035346, 7035417, 7035436, 7035581, 7035630, 7035826, 7035921, 7036323, 7036333, 7036541, 7037096, 7037340, 7037872]",264
138,고추장버터,고추장버터,[7019944],1
139,고추참치,고추참치,"[7022561, 7022747, 7024478, 7026425, 7026987]",5
